CustomerID,Recency,Frequency,Monetary,Customer_Segment
14258.0,9,9,12669.98,VIP
13078.0,3,26,12627.94,VIP
12536.0,43,3,12601.83,Regular
15640.0,4,15,12515.66,VIP
16000.0,2,3,12393.7,Regular
17340.0,29,11,12353.29,VIP
12682.0,3,31,12288.22,VIP
13113.0,0,24,12245.96,VIP
14606.0,1,93,12156.65,VIP
12557.0,16,5,11990.96,Regular
12939.0,64,8,11581.8,Regular
15125.0,25,15,11528.48,VIP
14194.0,4,21,11349.52,VIP
12971.0,3,86,11189.91,VIP
14895.0,7,20,11138.71,VIP
12409.0,78,3,11072.67,Regular
15482.0,15,12,11054.96,VIP
17581.0,0,25,11045.04,VIP
13319.0,5,26,10845.55,VIP
17107.0,33,6,10815.43,Regular
13340.0,45,7,10736.48,Regular
14769.0,2,8,10674.75,VIP
17139.0,15,12,10668.47,VIP
16779.0,2,22,10629.72,VIP
17865.0,30,20,10526.32,Regular
17706.0,4,17,10504.49,VIP
15251.0,9,11,10484.99,VIP
14062.0,9,12,10464.85,VIP
15615.0,10,23,10399.74,VIP
15502.0,15,12,10384.93,VIP
16180.0,100,8,10254.18,Regular
16843.0,42,16,10196.57,Regular
12590.0,211,2,9864.26,Regular
13001.0,4,13,9818.82,VIP
13199.0,3,38,9817.12,VIP
15078.0,7,32,9743.11,VIP
12709.0,15,15,9736.52,VIP
13458.0,7,14,9646.57,VIP
14733.0,16,12,9585.91,VIP
16523.0,1,21,9418.47,VIP
12567.0,22,10,9401.28,VIP
14367.0,8,16,9261.52,VIP
14667.0,10,25,9241.2,VIP
18092.0,2,11,9068.26,VIP
13969.0,7,18,9053.94,VIP
12451.0,10,5,9035.52,Regular
13488.0,17,13,8968.31,VIP
13090.0,8,14,8910.82,VIP
16033.0,5,20,8816.4,VIP
17017.0,2,20,8694.26,VIP
17243.0,1,26,8676.85,VIP
17306.0,10,19,8631.31,VIP
16656.0,22,15,8625.8,VIP
14527.0,2,55,8508.82,VIP
12683.0,4,15,8476.57,VIP
18139.0,17,6,8438.34,VIP
15358.0,4,22,8347.2,VIP
16558.0,0,20,8338.49,VIP
14056.0,1,23,8214.65,VIP
14936.0,33,8,8137.02,Regular
16672.0,2,20,8134.94,VIP
13854.0,8,25,8109.52,VIP
14952.0,59,11,8099.49,Regular
18109.0,1,26,8052.97,VIP
14796.0,1,17,8022.49,VIP
12428.0,25,9,7956.46,VIP
15290.0,4,18,7943.22,VIP
14849.0,21,25,7930.54,VIP
12757.0,15,13,7857.1,VIP
17811.0,4,39,7837.73,VIP
13093.0,275,8,7832.47,At Risk (Previous Frequent Buyer)
12435.0,79,2,7829.89,Regular
13629.0,23,11,7792.36,VIP
15044.0,19,17,7700.23,VIP
15194.0,3,15,7616.53,VIP
18172.0,14,20,7561.68,VIP
13263.0,1,35,7454.07,VIP
12474.0,17,18,7375.79,VIP
12980.0,157,9,7374.9,At Risk (Previous Frequent Buyer)
15465.0,19,18,7354.62,VIP
17396.0,39,8,7330.8,Regular
12583.0,2,15,7281.38,VIP
13018.0,16,28,7277.7,VIP
18229.0,11,20,7276.9,VIP
16923.0,12,19,7247.61,VIP
16729.0,38,21,7239.92,Regular
16745.0,86,17,7194.3,Regular
16873.0,4,6,7123.62,VIP
13324.0,36,10,7121.95,Regular
13985.0,4,15,7060.13,VIP
14961.0,10,9,7044.68,VIP
12766.0,3,7,6989.63,VIP
12798.0,10,3,6977.04,Regular
12989.0,3,15,6924.11,VIP
16713.0,18,15,6923.13,VIP
13027.0,113,6,6912.0,Regular
16187.0,31,15,6911.44,Regular
17416.0,29,7,6893.42,VIP
12705.0,15,9,6868.29,VIP
12476.0,15,11,6816.42,VIP
12830.0,37,6,6814.64,Regular
15023.0,3,11,6802.76,VIP
18055.0,7,10,6784.19,VIP
15601.0,11,14,6776.56,VIP
16652.0,58,7,6773.97,Regular
16532.0,17,3,6748.8,Regular
13576.0,10,18,6717.34,VIP
16746.0,4,18,6697.66,VIP
15249.0,31,13,6688.46,Regular
16353.0,3,23,6675.71,VIP
17338.0,17,8,6643.93,VIP
12626.0,23,9,6620.48,VIP
16182.0,72,4,6617.65,Regular
15144.0,8,17,6580.44,VIP
12472.0,32,7,6572.11,Regular
16814.0,14,21,6509.1,VIP
12431.0,35,15,6487.45,Regular
18223.0,4,14,6484.54,VIP
15694.0,0,14,6479.4,VIP
13225.0,3,7,6463.84,VIP
13102.0,1,24,6424.09,VIP
13871.0,22,13,6403.25,VIP
12359.0,57,4,6372.58,Regular
13668.0,2,21,6363.59,VIP
13709.0,3,13,6328.05,VIP
15005.0,15,28,6316.57,VIP
17315.0,1,38,6292.26,VIP
16126.0,29,4,6287.77,Regular
14057.0,23,17,6217.96,VIP
12357.0,33,1,6207.67,Regular
14060.0,4,19,6140.42,VIP
13418.0,11,18,6127.43,VIP
17509.0,57,8,6115.14,Regular
15939.0,89,15,6115.01,Regular
14735.0,3,32,6065.69,VIP
12637.0,67,8,6021.9,Regular
13097.0,32,10,6010.42,Regular
13316.0,37,4,5977.73,Regular
14101.0,73,6,5976.79,Regular
15382.0,14,6,5955.71,VIP
14505.0,17,8,5905.64,VIP
14415.0,1,13,5900.28,VIP
14944.0,29,12,5900.25,VIP
13209.0,30,8,5891.61,Regular
13534.0,2,25,5870.08,VIP
13050.0,14,17,5836.86,VIP
12720.0,2,25,5781.73,VIP
15218.0,10,11,5756.89,VIP
17686.0,7,7,5739.46,VIP
13178.0,26,11,5725.47,VIP
16553.0,163,12,5719.82,At Risk (Previous Frequent Buyer)
13468.0,1,37,5704.97,VIP
14110.0,3,12,5683.15,VIP
14049.0,16,4,5681.72,Regular
17049.0,2,9,5659.98,VIP
17716.0,22,11,5655.99,VIP
13004.0,11,18,5655.91,VIP
18118.0,10,26,5653.82,VIP
14688.0,7,21,5630.87,VIP
17757.0,1,30,5605.29,VIP
12481.0,22,10,5596.32,VIP
12839.0,2,14,5591.42,VIP
16767.0,30,11,5580.6,Regular
16161.0,1,19,5575.56,VIP
12539.0,22,4,5568.35,Regular
15805.0,23,17,5528.48,VIP
18225.0,3,12,5509.12,VIP
16609.0,15,7,5493.46,VIP
16985.0,17,10,5464.12,VIP
16265.0,9,9,5447.0,VIP
18198.0,4,17,5425.56,VIP
12490.0,5,10,5417.93,VIP
17809.0,16,12,5411.91,VIP
16701.0,8,13,5398.3,VIP
17719.0,37,15,5396.04,Regular
17850.0,372,34,5391.21,At Risk (Previous Frequent Buyer)
16303.0,25,3,5360.63,Regular
13269.0,1,15,5346.23,VIP
15150.0,17,10,5314.47,VIP
17730.0,3,13,5298.48,VIP
17061.0,73,11,5232.23,Regular
18226.0,44,11,5228.05,Regular
12362.0,3,10,5226.23,VIP
15046.0,9,15,5213.77,VIP
16258.0,45,5,5203.51,Regular
13756.0,2,14,5189.52,VIP
16191.0,2,13,5180.52,VIP
15727.0,16,7,5178.96,VIP
17858.0,5,12,5155.66,VIP
13599.0,1,21,5153.67,VIP
15903.0,9,7,5126.76,VIP
13941.0,21,5,5112.96,Regular
17602.0,2,6,5102.97,VIP
16700.0,8,13,5076.55,VIP
14562.0,3,18,5074.77,VIP
15301.0,50,12,5070.35,Regular
13139.0,16,7,5064.94,VIP
12432.0,42,5,5059.32,Regular
15719.0,32,13,5045.61,Regular
17426.0,8,6,5037.26,VIP
14329.0,17,7,5014.84,VIP
14755.0,9,11,5010.28,VIP
12444.0,21,5,5005.46,Regular
15032.0,256,3,4959.1,At Risk (Previous Frequent Buyer)
15547.0,7,14,4954.84,VIP
12437.0,1,18,4951.41,VIP
12700.0,7,4,4939.99,Regular
15786.0,46,3,4932.2,Regular
14709.0,15,13,4921.04,VIP
17133.0,15,7,4892.24,VIP
12664.0,8,9,4881.88,VIP
12688.0,113,1,4873.81,Regular
14292.0,7,9,4871.93,VIP
17652.0,25,12,4867.72,VIP
15738.0,18,16,4812.42,VIP
13013.0,1,13,4810.94,VIP
15555.0,12,16,4805.17,VIP
17365.0,12,8,4801.56,VIP
15298.0,2,12,4799.9,VIP
15187.0,1,16,4777.18,VIP
17690.0,30,15,4757.95,Regular
12955.0,1,11,4757.16,VIP
14180.0,10,25,4748.52,VIP
15152.0,9,13,4745.69,VIP
16722.0,17,13,4730.81,VIP
12714.0,9,5,4708.86,Regular
14159.0,19,11,4693.01,VIP
14135.0,1,15,4690.31,VIP
14191.0,1,13,4684.76,VIP
15291.0,25,15,4668.3,VIP
14189.0,2,15,4654.08,VIP
14390.0,10,9,4652.82,VIP
14286.0,23,3,4628.75,Regular
16931.0,5,21,4604.22,VIP
13802.0,138,3,4599.42,Regular
15093.0,18,6,4597.02,VIP
14004.0,43,7,4582.64,Regular
17613.0,22,14,4559.15,VIP
17068.0,12,21,4552.14,VIP
12484.0,32,6,4541.72,Regular
13267.0,2,19,4521.49,VIP
15299.0,67,7,4507.01,Regular
17975.0,15,13,4488.81,VIP
12524.0,9,8,4485.72,VIP
14426.0,23,10,4481.67,VIP
16984.0,88,2,4481.35,Regular
17364.0,0,11,4481.18,VIP
12627.0,10,7,4478.53,VIP
14085.0,2,18,4448.54,VIP
14534.0,2,18,4447.05,VIP
13069.0,0,24,4436.12,VIP
15955.0,24,14,4416.26,VIP
16626.0,0,17,4413.1,VIP
15874.0,63,7,4405.88,Regular
12712.0,28,13,4396.13,VIP
13505.0,72,4,4393.63,Regular
12752.0,81,1,4366.78,Regular
16945.0,21,19,4345.5,VIP
14016.0,161,4,4341.21,At Risk (Previous Frequent Buyer)
14800.0,47,12,4339.74,Regular
14525.0,19,9,4332.2,VIP
17567.0,7,8,4331.48,VIP
18251.0,87,1,4314.72,Regular
12347.0,2,7,4310.0,VIP
15034.0,15,8,4308.61,VIP
17937.0,8,7,4301.22,VIP
14422.0,0,6,4263.64,VIP
12500.0,23,11,4257.82,VIP
17419.0,11,12,4226.57,VIP
14277.0,15,3,4216.2,Regular
15804.0,0,13,4206.39,VIP
17920.0,4,17,4204.1,VIP
15971.0,17,12,4199.85,VIP
12747.0,2,11,4196.01,VIP
14146.0,8,5,4191.0,Regular
18041.0,11,21,4183.39,VIP
12949.0,30,8,4167.22,Regular
15570.0,7,12,4165.52,VIP
16549.0,10,10,4154.64,VIP
13384.0,30,7,4151.93,Regular
13555.0,73,4,4149.28,Regular
13988.0,19,6,4147.96,VIP
15514.0,12,11,4139.46,VIP
12569.0,2,32,4124.69,VIP
16592.0,4,16,4113.68,VIP
17940.0,49,10,4106.44,Regular
17377.0,23,20,4100.92,VIP
16401.0,1,12,4098.32,VIP
16670.0,16,11,4095.9,VIP
12749.0,3,5,4090.88,Regular
14092.0,7,14,4076.91,VIP
12449.0,22,4,4067.29,Regular
18087.0,98,2,4055.72,Regular
14401.0,4,13,4051.48,VIP
12656.0,17,5,4051.17,Regular
12867.0,26,7,4036.82,VIP
13815.0,22,4,4027.36,Regular
12841.0,4,25,4022.35,VIP
12957.0,9,8,4017.54,VIP
12378.0,129,1,4008.62,Regular
14547.0,3,8,4007.54,VIP
16186.0,22,12,4006.94,VIP
17769.0,12,10,3997.98,VIP
15529.0,22,11,3995.23,VIP
17001.0,0,11,3989.57,VIP
15416.0,64,4,3984.32,Regular
17611.0,7,15,3984.22,VIP
12779.0,37,8,3981.36,Regular
12727.0,10,7,3980.7,VIP
14299.0,8,9,3965.62,VIP
13523.0,33,5,3964.88,Regular
13183.0,7,9,3957.78,VIP
17651.0,11,10,3945.0,VIP
12473.0,29,5,3938.55,Regular
17593.0,3,5,3927.34,Regular
14739.0,4,7,3902.28,VIP
13999.0,10,12,3901.81,VIP
14291.0,1,11,3883.25,VIP
18073.0,114,12,3877.52,Regular
13124.0,89,3,3866.33,Regular
15195.0,2,1,3861.0,New Customer
16717.0,23,6,3858.38,VIP
12662.0,0,11,3849.78,VIP
16327.0,14,6,3844.22,VIP
13266.0,11,12,3834.26,VIP
17091.0,2,9,3827.76,VIP
15867.0,5,15,3812.64,VIP
12755.0,280,2,3811.95,Regular
12597.0,19,4,3811.22,Regular
13435.0,5,7,3809.89,VIP
12668.0,11,4,3807.15,Regular
16145.0,8,11,3799.49,VIP
16655.0,17,6,3794.52,VIP
16168.0,10,27,3787.6,VIP
16019.0,46,9,3786.24,Regular
12562.0,8,7,3781.74,VIP
17173.0,5,8,3766.6,VIP
16904.0,4,16,3754.27,VIP
12429.0,9,4,3750.4,Regular
17238.0,2,17,3744.65,VIP
14145.0,46,4,3742.2,Regular
13552.0,66,12,3740.07,Regular
16570.0,15,10,3738.4,VIP
15808.0,306,4,3734.97,At Risk (Previous Frequent Buyer)
14282.0,3,15,3729.34,VIP
12502.0,95,5,3723.87,Regular
12647.0,22,12,3722.82,VIP
13680.0,1,4,3722.42,Regular
16240.0,24,2,3718.8,Regular
14364.0,108,8,3717.35,Regular
15845.0,17,8,3711.77,VIP
15622.0,43,9,3709.56,Regular
13148.0,29,12,3707.12,VIP
17819.0,71,7,3704.87,Regular
15379.0,169,7,3703.29,At Risk (Previous Frequent Buyer)
12553.0,8,10,3692.28,VIP
16253.0,66,2,3683.86,Regular
15581.0,120,13,3679.97,Regular
15296.0,50,6,3672.86,Regular
18079.0,45,4,3651.97,Regular
13137.0,10,8,3650.41,VIP
12417.0,3,9,3649.1,VIP
16712.0,9,11,3645.43,VIP
13426.0,0,10,3641.32,VIP
12619.0,16,9,3641.24,VIP
16440.0,7,5,3640.67,Regular
13381.0,31,6,3639.31,Regular
17230.0,264,8,3638.41,At Risk (Previous Frequent Buyer)
14543.0,28,16,3630.33,VIP
17528.0,1,8,3628.5,VIP
13327.0,38,8,3627.77,Regular
13520.0,58,6,3624.35,Regular
17576.0,8,19,3622.68,VIP
14040.0,40,12,3614.92,Regular
13082.0,126,9,3613.63,Regular
15505.0,52,5,3610.96,Regular
15113.0,9,3,3609.33,Regular
16242.0,8,7,3603.21,VIP
15484.0,1,4,3594.31,Regular
14132.0,2,11,3586.03,VIP
17203.0,35,6,3563.85,Regular
17491.0,1,10,3558.87,VIP
15544.0,9,9,3546.71,VIP
12370.0,51,4,3545.69,Regular
14503.0,3,6,3543.26,VIP
13448.0,16,6,3539.37,VIP
13334.0,82,3,3536.82,Regular
12454.0,56,1,3528.34,Regular
17160.0,31,6,3518.03,Regular
13953.0,7,7,3515.68,VIP
16360.0,4,6,3512.53,VIP
14395.0,2,9,3507.71,VIP
16131.0,51,6,3506.54,Regular
14907.0,3,7,3501.1,VIP
16458.0,2,18,3482.74,VIP
13993.0,42,9,3466.36,Regular
13014.0,10,10,3466.28,VIP
17758.0,19,8,3456.7,VIP
15410.0,84,8,3450.84,Regular
13536.0,1,7,3448.29,VIP
15129.0,50,11,3447.4,Regular
15974.0,39,7,3442.15,Regular
17725.0,16,11,3439.08,VIP
15676.0,18,3,3435.76,Regular
14221.0,42,9,3432.8,Regular
12406.0,22,2,3415.3,Regular
15981.0,24,8,3408.48,VIP
13437.0,14,7,3408.06,VIP
17669.0,42,7,3406.72,Regular
13198.0,10,6,3401.24,VIP
15228.0,66,4,3386.71,Regular
13842.0,58,9,3385.62,Regular
15708.0,40,7,3364.24,Regular
16011.0,8,16,3362.71,VIP
14227.0,26,10,3350.96,VIP
16818.0,10,11,3349.57,VIP
16607.0,17,14,3347.71,VIP
17183.0,7,6,3347.31,VIP
13015.0,53,5,3346.28,Regular
12643.0,128,6,3344.64,Regular
12613.0,57,5,3344.38,Regular
12594.0,37,10,3338.22,Regular
16556.0,66,7,3313.79,Regular
13373.0,60,3,3312.25,Regular
14841.0,53,6,3295.76,Regular
14702.0,1,17,3292.14,VIP
15632.0,15,8,3285.31,VIP
12480.0,28,4,3281.63,Regular
15764.0,88,6,3279.97,Regular
17723.0,127,6,3276.4,Regular
13952.0,217,2,3251.07,Regular
13047.0,31,10,3237.54,Regular
15443.0,1,7,3236.91,VIP
17050.0,96,6,3228.84,Regular
14175.0,59,3,3222.3,Regular
13880.0,21,13,3219.77,VIP
13268.0,17,11,3214.69,VIP
14388.0,10,8,3212.84,VIP
16107.0,17,7,3204.16,VIP
17220.0,24,14,3198.25,VIP
13868.0,7,2,3192.54,Regular
17685.0,16,7,3191.53,VIP
13758.0,11,7,3190.55,VIP
14844.0,63,4,3189.81,Regular
12456.0,44,3,3181.04,Regular
17672.0,50,2,3178.17,Regular
17231.0,12,10,3174.32,VIP
16837.0,31,11,3170.98,Regular
16041.0,30,3,3166.4,Regular
15861.0,12,8,3165.36,VIP
17863.0,59,6,3160.0,Regular
15065.0,37,4,3158.13,Regular
14235.0,75,5,3144.86,Regular
13742.0,16,12,3131.02,VIP
16156.0,8,9,3122.04,VIP
13685.0,2,7,3119.44,VIP
16326.0,5,14,3110.96,VIP
16678.0,2,12,3109.99,VIP
13869.0,123,4,3104.95,Regular
14099.0,16,11,3104.17,VIP
16905.0,5,7,3102.43,VIP
15491.0,95,6,3100.09,Regular
14257.0,64,5,3099.72,Regular
14565.0,95,4,3099.12,Regular
13135.0,196,1,3096.0,Regular
17059.0,29,5,3095.04,Regular
13362.0,9,4,3090.74,Regular
15998.0,36,5,3089.97,Regular
16218.0,29,7,3084.68,VIP
18272.0,2,6,3078.58,VIP
12910.0,23,8,3075.04,VIP
13631.0,99,11,3070.42,Regular
16686.0,47,7,3062.83,Regular
14456.0,5,9,3062.4,VIP
17799.0,22,10,3055.93,VIP
16940.0,52,3,3049.88,Regular
16393.0,2,13,3046.21,VIP
16709.0,84,5,3029.87,Regular
12598.0,9,8,3023.08,VIP
12395.0,19,12,3018.63,VIP
18094.0,81,7,3017.3,Regular
12754.0,235,3,3010.74,At Risk (Previous Frequent Buyer)
12916.0,138,4,3006.15,Regular
15521.0,40,8,3000.2,Regular
17659.0,17,12,2999.46,VIP
17504.0,206,9,2997.03,At Risk (Previous Frequent Buyer)
12670.0,10,5,2996.05,Regular
14307.0,88,6,2995.72,Regular
15687.0,8,9,2993.1,VIP
14639.0,52,6,2984.49,Regular
13451.0,26,5,2976.15,Regular
14032.0,2,11,2975.59,VIP
15854.0,4,12,2974.65,VIP
16497.0,49,6,2965.69,Regular
17924.0,11,7,2962.5,VIP
14868.0,3,8,2953.59,VIP
17084.0,35,2,2949.75,Regular
17444.0,147,3,2940.04,Regular
16316.0,64,8,2938.91,Regular
14530.0,25,6,2925.91,VIP
17512.0,28,10,2924.99,VIP
15606.0,61,9,2920.16,Regular
12906.0,11,5,2919.81,Regular
14112.0,22,7,2915.15,VIP
12438.0,14,2,2906.85,Regular
17644.0,1,11,2895.64,VIP
18144.0,7,12,2888.75,VIP
12408.0,32,5,2888.55,Regular
13735.0,24,4,2885.24,Regular
16633.0,17,6,2883.1,VIP
15673.0,88,4,2881.02,Regular
14251.0,1,5,2879.7,Regular
17728.0,3,3,2876.01,Regular
14005.0,9,5,2874.72,Regular
15628.0,4,9,2870.24,VIP
14711.0,10,11,2868.8,VIP
13901.0,72,5,2867.2,Regular
14535.0,60,3,2864.19,Regular
12685.0,28,6,2863.08,VIP
18145.0,12,4,2861.55,Regular
16928.0,80,17,2847.6,Regular
15984.0,2,10,2837.67,VIP
14852.0,58,6,2836.69,Regular
14572.0,3,7,2832.84,VIP
17596.0,23,7,2827.93,VIP
14842.0,43,4,2824.69,Regular
13174.0,16,3,2817.03,Regular
16871.0,22,6,2812.34,VIP
12356.0,22,3,2811.43,Regular
14903.0,21,5,2810.63,Regular
18230.0,9,7,2810.2,VIP
13230.0,4,14,2806.97,VIP
16081.0,56,5,2806.9,Regular
16764.0,3,13,2799.25,VIP
15993.0,8,7,2797.57,VIP
13769.0,2,10,2796.51,VIP
12578.0,21,2,2794.51,Regular
12758.0,116,2,2791.59,Regular
17739.0,11,7,2791.35,VIP
14626.0,23,4,2791.27,Regular
17213.0,40,7,2781.23,Regular
12388.0,15,6,2780.66,VIP
14121.0,3,4,2780.15,Regular
17838.0,26,5,2779.3,Regular
13870.0,2,8,2770.94,VIP
15356.0,31,10,2766.5,Regular
15114.0,30,10,2760.56,Regular
14854.0,78,7,2759.83,Regular
13971.0,18,8,2758.26,VIP
15321.0,70,3,2748.31,Regular
12669.0,150,3,2744.03,At Risk (Previous Frequent Buyer)
14808.0,39,8,2741.17,Regular
14125.0,10,3,2740.43,Regular
15696.0,33,8,2736.46,Regular
16938.0,8,4,2736.38,Regular
16003.0,29,5,2735.37,Regular
12840.0,143,4,2726.77,Regular
12380.0,21,4,2724.81,Regular
12708.0,29,10,2712.91,VIP
15796.0,1,8,2711.56,VIP
17069.0,28,9,2709.7,VIP
13285.0,23,4,2709.12,Regular
13654.0,43,6,2707.33,Regular
14107.0,51,7,2703.23,Regular
14732.0,8,8,2702.49,VIP
18097.0,7,6,2697.8,VIP
17386.0,7,6,2686.42,VIP
12625.0,211,2,2683.82,Regular
17346.0,3,15,2676.56,VIP
13883.0,10,5,2674.48,Regular
14713.0,9,11,2666.36,VIP
12360.0,52,3,2662.06,Regular
14439.0,319,1,2661.24,Lost (One-Time Buyer)
15671.0,18,7,2657.13,VIP
12721.0,31,6,2656.13,Regular
13851.0,95,3,2651.46,Regular
16618.0,31,5,2647.59,Regular
18260.0,172,6,2643.2,At Risk (Previous Frequent Buyer)
13658.0,9,5,2639.17,Regular
17655.0,10,7,2638.94,VIP
15752.0,39,7,2637.38,Regular
13804.0,30,7,2635.79,Regular
13771.0,64,4,2634.45,Regular
12520.0,79,5,2634.26,Regular
17402.0,4,13,2633.85,VIP
18077.0,8,11,2633.01,VIP
13422.0,64,1,2626.3,Regular
13644.0,16,4,2624.26,Regular
17965.0,37,14,2622.57,Regular
18210.0,1,6,2621.38,VIP
16255.0,16,8,2619.91,VIP
14262.0,8,8,2618.23,VIP
13021.0,4,9,2616.38,VIP
15782.0,9,3,2614.74,Regular
14397.0,2,19,2612.96,VIP
12836.0,59,4,2612.86,Regular
18075.0,23,10,2611.75,VIP
12726.0,28,7,2609.1,VIP
16241.0,9,13,2607.87,VIP
13136.0,56,5,2607.61,Regular
14408.0,10,7,2606.53,VIP
13983.0,29,12,2603.43,VIP
17317.0,46,3,2600.34,Regular
12600.0,28,10,2599.04,VIP
16919.0,156,11,2596.45,At Risk (Previous Frequent Buyer)
13895.0,28,4,2593.07,Regular
14243.0,8,10,2588.77,VIP
15033.0,4,10,2586.67,VIP
13911.0,57,9,2580.91,Regular
14546.0,5,5,2578.09,Regular
16912.0,28,11,2575.38,VIP
15485.0,30,3,2575.0,Regular
18245.0,7,7,2567.06,VIP
16308.0,37,4,2560.0,Regular
15572.0,4,7,2552.86,VIP
14334.0,16,8,2552.21,VIP
14701.0,10,9,2549.37,VIP
14676.0,31,6,2548.24,Regular
13344.0,67,3,2543.72,Regular
14776.0,51,11,2538.3,Regular
17700.0,16,4,2534.64,Regular
13471.0,1,4,2531.58,Regular
14659.0,8,9,2529.93,VIP
17314.0,24,8,2527.92,VIP
13975.0,31,6,2526.28,Regular
17449.0,2,7,2520.86,VIP
13394.0,1,8,2520.02,VIP
15245.0,134,3,2515.84,Regular
15271.0,7,15,2507.07,VIP
12352.0,36,8,2506.04,Regular
13695.0,31,15,2504.13,Regular
12517.0,28,5,2502.84,Regular
15932.0,4,8,2495.87,VIP
16477.0,63,7,2494.46,Regular
12483.0,17,8,2484.98,VIP
12913.0,4,5,2483.63,Regular
16710.0,19,10,2483.04,VIP
14315.0,44,6,2481.13,Regular
13507.0,3,4,2479.16,Regular
13588.0,15,9,2478.95,VIP
17682.0,10,6,2474.33,VIP
17188.0,11,7,2474.23,VIP
14766.0,8,6,2473.37,VIP
14502.0,19,11,2470.67,VIP
17164.0,32,7,2467.35,Regular
12455.0,73,6,2466.86,Regular
15750.0,2,8,2465.48,VIP
17131.0,5,5,2463.17,Regular
13784.0,9,11,2462.79,VIP
15674.0,73,5,2446.6,Regular
14163.0,87,4,2445.91,Regular
15527.0,18,8,2429.78,VIP
17071.0,28,9,2429.03,VIP
13949.0,2,6,2427.32,VIP
16143.0,3,6,2424.94,VIP
17722.0,96,4,2424.04,Regular
15089.0,10,6,2420.84,VIP
15373.0,8,12,2415.91,VIP
12397.0,35,2,2409.9,Regular
17589.0,60,4,2404.17,Regular
15980.0,88,3,2398.86,Regular
18065.0,5,14,2392.83,VIP
13141.0,84,5,2388.75,Regular
15370.0,40,7,2386.05,Regular
17530.0,1,10,2385.0,VIP
14493.0,7,5,2383.24,Regular
14554.0,10,4,2381.04,Regular
14239.0,43,11,2380.85,Regular
15270.0,15,7,2379.49,VIP
13722.0,131,3,2375.41,Regular
17434.0,2,7,2373.82,VIP
14930.0,108,3,2372.86,Regular
13908.0,79,4,2369.55,Regular
15755.0,10,6,2364.25,VIP
12457.0,66,7,2363.23,Regular
17634.0,36,9,2361.97,Regular
14030.0,18,8,2360.09,VIP
14440.0,8,5,2357.68,Regular
15140.0,52,7,2354.25,Regular
14309.0,8,9,2352.53,VIP
12704.0,7,8,2340.84,VIP
18259.0,24,3,2338.6,Regular
12584.0,3,9,2338.15,VIP
18257.0,39,8,2337.63,Regular
17954.0,5,12,2332.72,VIP
15281.0,58,9,2332.15,Regular
12782.0,4,5,2330.92,Regular
15785.0,32,5,2328.97,Regular
17313.0,31,1,2328.84,Regular
